order_id,order_channel
ORD_00000848,"Mobile App"
ORD_00000849,"In-Store Cashier"
ORD_00000850,"Mobile App"
ORD_00000851,"Mobile App"
ORD_00000852,"Mobile App"
ORD_00000853,"Mobile App"
ORD_00000854,Drive-Thru
ORD_00000855,"Mobile App"
ORD_00000856,"Mobile App"
ORD_00000857,"In-Store Cashier"
ORD_00000858,"Mobile App"
ORD_00000859,"Mobile App"
ORD_00000860,"In-Store Cashier"
ORD_00000861,Drive-Thru
ORD_00000862,"Mobile App"
ORD_00000863,"In-Store Cashier"
ORD_00000864,Drive-Thru
ORD_00000865,"In-Store Cashier"
ORD_00000866,Drive-Thru
ORD_00000867,Drive-Thru
ORD_00000868,"Mobile App"
ORD_00000869,Kiosk
ORD_00000870,Kiosk
ORD_00000871,"Mobile App"
ORD_00000872,Drive-Thru
ORD_00000873,"In-Store Cashier"
ORD_00000874,Kiosk
ORD_00000875,"In-Store Cashier"
ORD_00000876,"Mobile App"
ORD_00000877,"Mobile App"
ORD_00000878,"Mobile App"
ORD_00000879,Drive-Thru
ORD_00000880,Drive-Thru
ORD_00000881,"Mobile App"
ORD_00000882,"Mobile App"
ORD_00000883,Drive-Thru
ORD_00000884,Drive-Thru
ORD_00000885,"Mobile App"
ORD_00000886,Drive-Thru
ORD_00000887,"Mobile App"
ORD_00000888,"Mobile App"
ORD_00000889,"In-Store Cashier"
ORD_00000890,Drive-Thru
ORD_00000891,"Mobile App"
ORD_00000892,"Mobile App"
ORD_00000893,"In-Store Cashier"
ORD_00000894,"Mobile App"
ORD_00000895,Drive-Thru
ORD_00000896,"In-Store Cashier"
ORD_00000897,"Mobile App"
ORD_00000898,"Mobile App"
ORD_00000899,Kiosk
ORD_00000900,"Mobile App"
ORD_00000901,Drive-Thru
ORD_00000902,"In-Store Cashier"
ORD_00000903,"Mobile App"
ORD_00000904,"In-Store Cashier"
ORD_00000905,"In-Store Cashier"
ORD_00000906,Drive-Thru
ORD_00000907,Drive-Thru
ORD_00000908,Drive-Thru
ORD_00000909,"Mobile App"
ORD_00000910,"Mobile App"
ORD_00000911,Drive-Thru
ORD_00000912,"In-Store Cashier"
ORD_00000913,"Mobile App"
ORD_00000914,"Mobile App"
ORD_00000915,"Mobile App"
ORD_00000916,Drive-Thru
ORD_00000917,"Mobile App"
ORD_00000918,"Mobile App"
ORD_00000919,"In-Store Cashier"
ORD_00000920,Drive-Thru
ORD_00000921,"In-Store Cashier"
ORD_00000922,Drive-Thru
ORD_00000923,Drive-Thru
ORD_00000924,"Mobile App"
ORD_00000925,"In-Store Cashier"
ORD_00000926,"Mobile App"
ORD_00000927,Kiosk
ORD_00000928,"Mobile App"
ORD_00000929,"Mobile App"
ORD_00000930,"Mobile App"
ORD_00000931,"Mobile App"
ORD_00000932,"Mobile App"
ORD_00000933,"Mobile App"
ORD_00000934,"Mobile App"
ORD_00000935,"Mobile App"
ORD_00000936,"Mobile App"
ORD_00000937,Drive-Thru
ORD_00000938,"Mobile App"
ORD_00000939,"Mobile App"
ORD_00000940,"In-Store Cashier"
ORD_00000941,"In-Store Cashier"
ORD_00000942,Drive-Thru
ORD_00000943,"Mobile App"
ORD_00000944,"Mobile App"
ORD_00000945,Drive-Thru
ORD_00000946,Kiosk
ORD_00000947,Drive-Thru
ORD_00000948,Drive-Thru
ORD_00000949,Drive-Thru
ORD_00000950,"Mobile App"
ORD_00000951,Drive-Thru
ORD_00000952,"In-Store Cashier"
ORD_00000953,"In-Store Cashier"
ORD_00000954,Drive-Thru
ORD_00000955,Drive-Thru
ORD_00000956,Kiosk
ORD_00000957,"In-Store Cashier"
ORD_00000958,"Mobile App"
ORD_00000959,Drive-Thru
ORD_00000960,"Mobile App"
ORD_00000961,"Mobile App"
ORD_00000962,"Mobile App"
ORD_00000963,"Mobile App"
ORD_00000964,"In-Store Cashier"
ORD_00000965,"Mobile App"
ORD_00000966,Drive-Thru
ORD_00000967,Drive-Thru
ORD_00000968,"Mobile App"
ORD_00000969,Drive-Thru
ORD_00000970,Kiosk
ORD_00000971,"In-Store Cashier"
ORD_00000972,"Mobile App"
ORD_00000973,"In-Store Cashier"
ORD_00000974,"Mobile App"
ORD_00000975,Drive-Thru
ORD_00000976,"In-Store Cashier"
ORD_00000977,"In-Store Cashier"
ORD_00000978,"Mobile App"
ORD_00000979,"In-Store Cashier"
ORD_00000980,Kiosk
ORD_00000981,"Mobile App"
ORD_00000982,Drive-Thru
ORD_00000983,"In-Store Cashier"
ORD_00000984,Drive-Thru
ORD_00000985,"Mobile App"
ORD_00000986,"Mobile App"
ORD_00000987,Kiosk
ORD_00000988,"Mobile App"
ORD_00000989,"In-Store Cashier"
ORD_00000990,Drive-Thru
ORD_00000991,"Mobile App"
ORD_00000992,"Mobile App"
ORD_00000993,Drive-Thru
ORD_00000994,Drive-Thru
ORD_00000995,"In-Store Cashier"
ORD_00000996,Kiosk
ORD_00000997,Kiosk
ORD_00000998,"Mobile App"
ORD_00000999,"In-Store Cashier"
ORD_00001000,Drive-Thru
